rank,cityId,displayName,country,region,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,rankingStatus
54,au-sydney,"Sydney","Australia","Oceania",54.5,27.8,89.5,87.1,56.3,63.9,A,Ranked
55,nz-auckland,"Auckland","New Zealand","Oceania",54.4,32.4,92.6,85.7,57.2,52.9,A,Ranked
56,pl-gdansk,"Gdansk","Poland","Southern/Eastern Europe and Eurasia",54.3,60.9,79.5,65.1,52,31.9,A,Ranked
57,it-bologna,"Bologna","Italy","Western, Northern, and Southern Europe",54,56.4,88.2,66.9,58.4,29.4,A,Ranked
58,nl-amsterdam,"Amsterdam","Netherlands","Western, Northern, and Southern Europe",53.9,37.6,97.6,71.8,65.7,42.8,A,Ranked
59,sk-bratislava,"Bratislava","Slovakia","Southern/Eastern Europe and Eurasia",53.9,57.3,89.7,49.7,63.2,35.3,A,Ranked
60,au-hobart,"Hobart","Australia","Oceania",52.5,33.8,89.5,87.1,56.3,45.1,A,Ranked
61,pl-krakow,"Krakow","Poland","Southern/Eastern Europe and Eurasia",52.3,53.5,79.5,65.1,52,31.9,A,Ranked
62,mu-port-louis,"Port Louis","Mauritius","Africa",51.2,56,76.2,47,39.6,45.4,A,Ranked
63,my-melaka,"Melaka","Malaysia","Southeast Asia",49.5,63,75.3,52.4,40.3,31.5,A,Ranked
64,ro-bucharest,"Bucharest","Romania","Southern/Eastern Europe and Eurasia",49.5,57.5,81.4,50.6,40.7,34.8,A,Ranked
65,my-kota-kinabalu,"Kota Kinabalu","Malaysia","Southeast Asia",49.3,61.5,77.9,52.4,40,31.5,A,Ranked
66,my-kuching,"Kuching","Malaysia","Southeast Asia",49.3,61.5,73.7,52.4,41.1,31.5,A,Ranked
67,uy-montevideo,"Montevideo","Uruguay","Latin America",49.1,52.4,59.5,74.6,64.6,24.4,A,Ranked
68,sa-khobar,"Khobar","Saudi Arabia","Middle East",48.9,91.3,96.3,78.9,17.2,24.1,A,Ranked
69,sa-jeddah,"Jeddah","Saudi Arabia","Middle East",48.8,90.6,96.3,78.9,17.2,24.1,A,Ranked
70,sa-riyadh,"Riyadh","Saudi Arabia","Middle East",48.7,89.9,96.3,78.9,17.2,24.1,A,Ranked
71,fr-paris,"Paris","France","Western, Northern, and Southern Europe",48.6,27.7,97.9,63.9,69.2,45.1,A,Ranked
72,my-george-town,"George Town","Malaysia","Southeast Asia",48.6,58,73.7,52.4,41.1,31.5,A,Ranked
73,pr-san-juan,"San Juan","Puerto Rico","North America",48.2,43.8,59.2,68.3,63.3,45.8,B,Ranked
74,hu-budapest,"Budapest","Hungary","Southern/Eastern Europe and Eurasia",48.1,47.2,93.1,55.5,63.5,26.2,A,Ranked
75,my-kuala-lumpur,"Kuala Lumpur","Malaysia","Southeast Asia",46.8,51,73.7,52.4,41.1,31.5,A,Ranked
76,th-hat-yai,"Hat Yai","Thailand","Southeast Asia",46.6,55.1,66.7,56.4,52.2,22.8,A,Ranked
77,om-salalah,"Salalah","Oman","Middle East",45.4,73.9,71.1,42,31.2,30.6,A,Ranked
78,cr-san-jose,"San Jose","Costa Rica","North America",45.3,45.7,43.5,66,47.9,35.9,A,Ranked
79,mv-male,"Male","Maldives","South Asia",45,54.6,72.1,39.8,35.8,35.4,A,Ranked
80,th-phuket,"Phuket","Thailand","Southeast Asia",44.9,48,68,56.4,52.2,22.8,A,Ranked
81,om-muscat,"Muscat","Oman","Middle East",44.7,66.9,71.1,42,31.2,30.6,A,Ranked
82,qa-doha,"Doha","Qatar","Middle East",44.7,59,73.9,54.4,18.6,37.6,A,Ranked
83,ar-cordoba,"Cordoba","Argentina","Latin America",44.5,67.5,69.2,78.6,46.8,10.2,A,Ranked
84,pa-panama-city,"Panama City","Panama","North America",44.2,61,44,64.2,41.8,26.9,A,Ranked
85,th-chiang-mai,"Chiang Mai","Thailand","Southeast Asia",43.8,54.3,49.7,56.4,52.2,22.8,A,Ranked
86,rs-belgrade,"Belgrade","Serbia","Southern/Eastern Europe and Eurasia",43.1,46.5,74.8,53.2,32.1,30.3,A,Ranked
87,cn-tianjin,"Tianjin","China","East Asia",42.4,43.5,98.6,71.9,19.7,37.1,A,Ranked
88,br-curitiba,"Curitiba","Brazil","Latin America",42.2,51.8,45.1,69.5,36.3,27.6,A,Ranked
89,kw-kuwait-city,"Kuwait City","Kuwait","Middle East",42.2,91.4,69.2,65,19.7,19.9,A,Ranked
90,br-florianopolis,"Florianopolis","Brazil","Latin America",41.9,50.4,45.1,69.5,36.3,27.6,A,Ranked
91,ar-buenos-aires,"Buenos Aires","Argentina","Latin America",41.8,55.4,69.2,78.6,46.8,10.2,A,Ranked
92,cn-chongqing,"Chongqing","China","East Asia",41,38.5,75.2,71.9,20.3,37.1,A,Ranked
93,cn-chengdu,"Chengdu","China","East Asia",40.9,37.8,77,71.9,20.5,37.1,A,Ranked
