rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
109,ph-cebu-city,Cebu City,Philippines,Southeast Asia,secondary,33.2,55.8,38.2,40.4,30.8,17.5,A,0.91,Ranked,3.1,115,2.7,manufacturing; tourism; services,,40.0,48.5,6.5,,5.69,Makati,Jakarta,Arequipa
110,ph-makati,Makati,Philippines,Southeast Asia,primary,33,52.1,38.2,40.4,30.8,17.5,A,0.91,Ranked,0.58,115,0.5,finance; services; tech,,40.0,48.5,6.5,,5.69,Cebu City,Jakarta,Lima
111,na-windhoek,Windhoek,Namibia,Africa,secondary,32.9,42.7,30.5,32.1,39.3,25.4,A,0.87,Ranked,0.44,2.6,16.9,government; mining; services,,44.9,,3.5,,3.71,Lima,Chandigarh,Makati
112,id-jakarta,Jakarta,Indonesia,Southeast Asia,primary,32.7,58.6,40.8,35.1,29.9,17.8,A,0.91,Ranked,34,277,12.3,finance; trade; government,,38.4,30.5,4.8,54.0,5.03,Surabaya,Cebu City,Makati
113,id-surabaya,Surabaya,Indonesia,Southeast Asia,secondary,32.7,63.7,40.8,35.1,29.9,17.8,A,0.91,Ranked,9.8,277,3.5,shipping; manufacturing; trade,,38.4,30.5,4.8,,5.03,Jakarta,Cebu City,Makati
114,ma-rabat,Rabat,Morocco,Africa,primary,32.4,46.9,59.9,34.1,24.2,18.8,A,0.88,Ranked,2.1,37.7,5.6,government; services; tourism,,44.0,80.0,7.0,,3.79,Casablanca,Hyderabad,Pune
115,lv-riga,Riga,Latvia,Southern/Eastern Europe and Eurasia,primary,32.4,60.6,,33.5,76.2,40.3,C,0.39,Ranked,0.62,1.84,33.7,finance; trade; services,,,,,34.0,,Vilnius,Valencia,Zagreb
116,ma-casablanca,Casablanca,Morocco,Africa,primary,32.3,46,59.9,34.1,24.2,18.8,A,0.88,Ranked,4.4,37.7,11.7,finance; manufacturing; trade,,44.0,80.0,7.0,68.0,3.79,Rabat,Hyderabad,Pune
117,se-gothenburg,Gothenburg,Sweden,"Western, Northern, and Southern Europe",primary,31.5,65.3,,14.5,95.5,63.3,C,0.39,Ranked,1,10.5,9.5,manufacturing; shipping; tech,1.52,,,,36.0,,Bergen,Antwerp,Zagreb
118,in-hyderabad,Hyderabad,India,South Asia,primary,31.3,44.7,53.1,30.4,33.5,14.6,A,0.91,Ranked,10.5,1428,0.7,tech; manufacturing; services,2.00,45.7,76.4,2.8,64.0,6.49,Pune,Bengaluru,Chandigarh
119,in-pune,Pune,India,South Asia,primary,31.2,44.4,53.1,30.4,33.5,14.6,A,0.91,Ranked,7.4,1428,0.5,manufacturing; tech; education,2.00,45.7,76.4,2.8,70.0,6.49,Hyderabad,Bengaluru,Chandigarh
120,in-bengaluru,Bengaluru,India,South Asia,primary,31.1,43.9,53.1,30.4,33.5,14.6,A,0.91,Ranked,13.7,1428,1.0,tech; manufacturing; services,2.00,45.7,76.4,2.8,,6.49,Pune,Hyderabad,Chandigarh
122,in-chandigarh,Chandigarh,India,South Asia,primary,30.6,43.9,44.1,30.4,34.1,14.6,A,0.95,Ranked,1.1,1428,0.1,government; services; education,2.00,45.7,85.0,2.8,55.0,6.49,Bengaluru,Pune,Hyderabad
123,ru-moscow,Moscow,Russia,Southern/Eastern Europe and Eurasia,primary,30.5,41,62.4,59.2,15.9,15.5,A,0.91,Ranked,12.5,144,8.7,finance; tech; government,,39.2,76.3,25.8,,4.34,Amman,Aqaba,Kampala
124,rw-kigali,Kigali,Rwanda,Africa,primary,30.5,56,47.2,15.8,30.5,24.8,A,0.87,Ranked,1.1,14.1,7.8,government; tech; services,3.90,29.9,,0.5,70.0,8.89,Accra,Nairobi,Kumasi
125,lk-kandy,Kandy,Sri Lanka,South Asia,secondary,29,51.5,40.7,33.7,28.6,11.7,A,0.91,Ranked,0.13,22,0.6,tourism; agriculture; services,1.99,41.7,46.9,8.8,,5.01,Colombo,Makati,Jakarta
126,jo-aqaba,Aqaba,Jordan,Middle East,secondary,28.9,43.2,66,46.5,11.5,17,A,0.88,Ranked,0.14,10.3,1.4,tourism; trade; services,,48.8,89.0,7.0,,2.49,Amman,Moscow,Casablanca
127,lk-colombo,Colombo,Sri Lanka,South Asia,primary,28.9,48.8,40.7,33.7,28.6,11.7,A,0.91,Ranked,3.6,22,16.4,finance; trade; services,1.99,41.7,46.9,8.8,,5.01,Kandy,Chandigarh,Makati
128,bt-thimphu,Thimphu,Bhutan,South Asia,secondary,28.6,47.2,47,25.2,40.4,10.2,A,0.91,Ranked,0.11,0.78,14.1,government; tourism; agriculture,,54.4,65.6,1.3,,4.63,Chandigarh,Hyderabad,Pune
129,vn-da-nang,Da Nang,Vietnam,Southeast Asia,secondary,28.2,51.7,,44.3,28.1,20.8,B,0.5,Ranked,1.2,98.3,1.2,tourism; manufacturing; services,1.94,,,,,,Makati,Cebu City,Jakarta
130,jo-amman,Amman,Jordan,Middle East,secondary,28.1,40.3,66,46.5,11.5,17,A,0.88,Ranked,4.2,10.3,40.8,finance; services; government,,48.8,89.0,7.0,65.0,2.49,Aqaba,Moscow,Casablanca
131,ge-tbilisi,Tbilisi,Georgia,Southern/Eastern Europe and Eurasia,primary,26.7,50,,33.1,40.9,43.1,C,0.39,Ranked,1.2,3.7,32.4,tourism; finance; government,,,,,56.0,,Phnom Penh,Gaborone,Male
132,es-valencia,Valencia,Spain,"Western, Northern, and Southern Europe",primary,26.6,59.8,,31.1,87.1,30.4,C,0.39,Ranked,1.8,47.4,3.8,manufacturing; tourism; trade,1.19,,,,74.0,,Riga,Zagreb,Vilnius
133,za-johannesburg,Johannesburg,South Africa,Africa,primary,26.3,34.3,15.1,26.3,42.3,29.8,A,0.88,Ranked,10.6,60,17.7,finance; mining; services,2.33,42.4,68.0,3.4,68.0,0.53,Cape Town,Windhoek,Gaborone
134,za-cape-town,Cape Town,South Africa,Africa,primary,26.2,34.2,15.1,26.3,42.3,29.8,A,0.88,Ranked,4.6,60,7.7,tourism; finance; services,2.33,42.4,68.0,3.4,72.0,0.53,Johannesburg,Windhoek,Gaborone
135,hr-zagreb,Zagreb,Croatia,Southern/Eastern Europe and Eurasia,primary,25.7,61.9,,17.8,77.4,42.3,C,0.39,Ranked,1.1,3.9,28.2,government; finance; manufacturing,,,,,52.0,,Riga,Antwerp,Valencia
136,gh-accra,Accra,Ghana,Africa,secondary,25.3,55.6,35.9,14.9,30.3,17.8,A,0.91,Ranked,4.5,33.5,13.4,finance; services; government,3.60,35.5,42.9,0.6,56.0,5.59,Kumasi,Nairobi,Kigali
137,gh-kumasi,Kumasi,Ghana,Africa,secondary,25.1,59.4,35.9,14.9,30.3,17.8,A,0.91,Ranked,3.6,33.5,10.7,manufacturing; trade; agriculture,3.60,35.5,42.9,0.6,,5.59,Accra,Kigali,Nairobi
138,mx-merida,Merida,Mexico,North America,secondary,25.1,53.7,13.3,55.5,40.5,14.1,A,0.91,Ranked,1.2,130,0.9,tourism; manufacturing; services,1.80,42.2,43.0,20.1,,1.43,Guadalajara,Mexico City,Medellin
139,mx-guadalajara,Guadalajara,Mexico,North America,secondary,24.8,49.9,13.3,55.5,40.5,14.1,A,0.91,Ranked,5.3,130,4.1,tech; manufacturing; services,1.80,42.2,43.0,20.1,68.0,1.43,Merida,Mexico City,Bogota
140,ie-cork,Cork,Ireland,"Western, Northern, and Southern Europe",secondary,24.5,82.1,,13.3,91.8,37.4,C,0.39,Ranked,0.33,5.1,6.5,pharma; tech; tourism,1.54,,,,40.0,,Bergen,Antwerp,Brno
142,ke-nairobi,Nairobi,Kenya,Africa,primary,23.9,48.5,45.1,12.5,28.1,14.5,A,0.87,Ranked,4.7,55,8.5,tech; finance; services,3.30,39.6,,2.4,72.0,4.72,Dhaka,Chattogram,Pokhara
143,mx-mexico-city,Mexico City,Mexico,North America,primary,23.3,39.2,13.3,55.5,40.5,14.1,A,0.91,Ranked,22,130,16.9,finance; manufacturing; government,1.80,42.2,43.0,20.1,66.0,1.43,Guadalajara,Merida,Bogota
145,np-pokhara,Pokhara,Nepal,South Asia,secondary,22.3,44.3,37.6,12.2,21.7,16.6,A,0.87,Ranked,0.45,30,1.5,tourism; agriculture; services,,,16.5,4.8,,3.67,Kathmandu,Nairobi,Dhaka
146,np-kathmandu,Kathmandu,Nepal,South Asia,secondary,22.3,42.3,37.6,12.2,21.7,16.6,A,0.87,Ranked,3.2,30,10.7,tourism; government; services,,,16.5,4.8,,3.67,Pokhara,Nairobi,Dhaka
147,bd-chattogram,Chattogram,Bangladesh,South Asia,secondary,21.7,51.3,48.3,10.8,19.6,15.7,A,0.91,Ranked,5.5,170,3.2,shipping; manufacturing; trade,1.95,46.7,59.1,7.9,,4.22,Dhaka,Nairobi,Pokhara
148,no-bergen,Bergen,Norway,"Western, Northern, and Southern Europe",secondary,21.7,76.4,,3.2,97.8,48.8,C,0.39,Ranked,0.44,5.4,8.1,energy; shipping; tourism,1.41,,,,28.0,,Brno,Antwerp,Cork
149,bd-dhaka,Dhaka,Bangladesh,South Asia,primary,21.6,49.3,48.3,10.8,19.6,15.7,A,0.91,Ranked,21,170,12.4,manufacturing; garments; services,1.95,46.7,59.1,7.9,,4.22,Chattogram,Nairobi,Pokhara
151,py-asuncion,Asuncion,Paraguay,Latin America,primary,17.5,40.4,,74.7,45.4,14.9,C,0.39,Ranked,2.4,7.4,32.4,government; trade; agriculture,,,,,,,Sao Paulo,Florianopolis,Curitiba
152,be-antwerp,Antwerp,Belgium,"Western, Northern, and Southern Europe",secondary,16.9,65.1,,4.4,87.9,40.4,C,0.39,Ranked,0.53,11.7,4.5,shipping; finance; manufacturing,1.56,,,,44.0,,Brno,Ljubljana,Bergen
153,kh-phnom-penh,Phnom Penh,Cambodia,Southeast Asia,primary,16.6,43.9,,18.2,34.5,36.3,C,0.43,Ranked,2.3,17.2,13.4,manufacturing; government; tourism,,,,,,,Kigali,Tbilisi,Gaborone
154,cz-brno,Brno,Czechia,Southern/Eastern Europe and Eurasia,secondary,15.5,70.5,,0,84.3,42.4,C,0.39,Ranked,0.4,10.9,3.7,tech; manufacturing; education,,,,,48.0,,Antwerp,Ljubljana,Bergen
155,sn-dakar,Dakar,Senegal,Africa,secondary,11.4,40.5,0.7,10.6,26.3,26.7,A,0.81,Ranked,3.7,17.8,20.8,government; services; trade,4.20,48.3,27.2,2.0,,6.06,Johannesburg,Cape Town,Kathmandu
156,de-munich,Munich,Germany,"Western, Northern, and Southern Europe",primary,10.8,18.3,,27.1,65,36.2,C,0.39,Ranked,2.8,83.5,3.4,automotive; finance; tech,1.36,,,,52.0,,Phnom Penh,Tbilisi,Windhoek
157,pk-islamabad,Islamabad,Pakistan,South Asia,primary,10.7,47.5,32.7,8.1,13,4.4,A,0.91,Ranked,1.2,231,0.5,government; services; education,3.36,46.8,45.0,1.4,,3.05,Karachi,Lahore,Pokhara
158,pk-karachi,Karachi,Pakistan,South Asia,primary,10.6,48,32.7,8.1,13,4.4,A,0.91,Ranked,16.1,231,7.0,manufacturing; shipping; finance,3.36,46.8,45.0,1.4,,3.05,Lahore,Islamabad,Pokhara
159,pk-lahore,Lahore,Pakistan,South Asia,secondary,10.6,48.3,32.7,8.1,13,4.4,A,0.91,Ranked,13.1,231,5.7,manufacturing; services; government,3.36,46.8,45.0,1.4,,3.05,Karachi,Islamabad,Pokhara
161,si-ljubljana,Ljubljana,Slovenia,Southern/Eastern Europe and Eurasia,primary,10.2,67,,0,90.6,33.2,C,0.39,Ranked,0.55,2.1,26.2,services; manufacturing; tourism,,,,,50.0,,Antwerp,Brno,Bergen
162,ug-kampala,Kampala,Uganda,Africa,primary,8.7,31.8,,68.7,15.1,22.5,C,0.39,Ranked,3.6,48,7.5,services; government; agriculture,,,,,,,Moscow,Sao Paulo,Florianopolis
163,eg-alexandria,Alexandria,Egypt,Africa,primary,2.4,45,,11.3,7.7,30.6,C,0.39,Ranked,5.4,106,5.1,manufacturing; shipping; tourism,,,,,,,Dhaka,Chattogram,Pokhara
