rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
26,us-chicago,Chicago,United States,North America,primary,58.6,56,56.6,79.1,47.6,62,A,0.85,Ranked,9.5,336,2.8,finance; manufacturing; trade,1.62,37.5,97.6,38.1,52.0,2.79,Minneapolis,Pittsburgh,Santiago
27,th-bangkok,Bangkok,Thailand,Southeast Asia,primary,58.5,45.4,84.9,62.5,90,46,A,0.95,Ranked,11.9,72,16.5,tourism; finance; services,1.08,42.5,93.0,43.9,72.0,2.54,Prague,Lyon,Zurich
28,au-adelaide,Adelaide,Australia,Oceania,secondary,58.5,43.7,89.5,87.1,56.3,49.2,A,0.87,Ranked,1.4,26,5.4,manufacturing; education; services,1.58,37.3,,36.6,70.0,1.37,Perth,Brisbane,Wellington
29,ch-zurich,Zurich,Switzerland,"Western, Northern, and Southern Europe",primary,58.3,39.1,97.6,72.7,76,49.4,A,0.91,Ranked,1.3,8.8,14.8,finance; tech; services,1.46,35.2,96.7,47.7,50.0,1.30,Toronto,Vancouver,Tokyo
30,uk-london,London,United Kingdom,"Western, Northern, and Southern Europe",primary,58.2,35.1,82.8,78.4,70.2,59.3,A,0.95,Ranked,,,,,,36.2,99.8,16.2,38.2,0.80,Vancouver,Toronto,Melbourne
31,au-melbourne,Melbourne,Australia,Oceania,primary,58.2,36.4,89.5,87.1,56.3,60.5,A,0.87,Ranked,5.1,26,19.6,finance; education; tourism,1.58,37.3,,36.6,62.0,1.37,Brisbane,Sydney,Auckland
32,au-brisbane,Brisbane,Australia,Oceania,primary,58.2,39.7,89.5,87.1,56.3,54.4,A,0.87,Ranked,2.6,26,10.0,tourism; mining; services,1.58,37.3,,36.6,72.0,1.37,Perth,Adelaide,Helsinki
33,ee-tallinn,Tallinn,Estonia,"Western, Northern, and Southern Europe",secondary,58.2,51,90.1,58.4,49,57.8,A,0.91,Ranked,0.45,1.37,32.8,tech; finance; government,,35.8,98.9,35.3,34.0,-0.09,Fukuoka,Porto,Braga
34,fi-helsinki,Helsinki,Finland,"Western, Northern, and Southern Europe",secondary,58.2,40.9,91.5,81,57.5,52.9,A,0.91,Ranked,1.6,5.5,29.1,tech; finance; services,1.32,33.8,99.7,35.3,32.0,0.42,Brisbane,Wellington,Adelaide
35,at-vienna,Vienna,Austria,"Western, Northern, and Southern Europe",primary,58.1,46.8,87.1,74.4,71.1,41.4,A,0.91,Ranked,2,9.1,22.0,government; finance; tourism,1.41,33.4,98.9,29.4,52.0,-0.66,Tokyo,Ottawa,Venice
37,cl-santiago,Santiago,Chile,Latin America,primary,57.9,50.7,72.7,83.8,56.9,44.6,A,0.91,Ranked,7.1,19.5,36.4,finance; mining; services,1.44,38.9,97.8,23.0,68.0,2.64,Valparaiso,Adelaide,Perth
38,us-new-york,New York,United States,North America,primary,57.7,27.1,85.4,82,68.5,75.3,A,0.95,Ranked,,,,,,38.7,99.7,28.4,49.5,2.40,Sydney,London,Melbourne
39,jp-fukuoka,Fukuoka,Japan,East Asia,secondary,57.6,59,94.5,67.4,46.6,42.3,A,0.91,Ranked,2.7,125,2.2,tech; trade; services,1.20,36.6,98.7,38.6,67.0,0.10,Hiroshima,Sapporo,Kobe
40,nz-dunedin,Dunedin,New Zealand,Oceania,secondary,57.5,51.2,92.6,85.7,57.2,37.1,A,0.87,Ranked,0.13,5.1,2.5,education; tourism; agriculture,1.56,37.5,100.0,37.9,48.0,1.29,Christchurch,Adelaide,Perth
41,nz-christchurch,Christchurch,New Zealand,Oceania,secondary,57.2,45.8,92.6,85.7,57.2,41.9,A,0.87,Ranked,0.4,5.1,7.8,tourism; agriculture; services,1.56,37.5,100.0,37.9,56.0,1.29,Dunedin,Adelaide,Perth
42,ca-vancouver,Vancouver,Canada,North America,primary,57.1,34.7,93.3,75.3,70.2,54.1,A,0.91,Ranked,2.6,40,6.5,tech; tourism; trade,1.26,34.8,96.9,42.5,48.0,1.55,Toronto,Zurich,London
43,it-venice,Venice,Italy,"Western, Northern, and Southern Europe",primary,56.8,53.9,84.7,67.8,68.6,34.8,A,0.95,Ranked,,,,,1.25,36.9,99.3,31.2,62.0,0.70,Vienna,Bologna,Graz
44,pl-torun,Torun,Poland,Southern/Eastern Europe and Eurasia,secondary,56,68.4,79.5,65.1,52,31.9,A,0.91,Ranked,0.2,37.7,0.5,manufacturing; education; services,1.29,38.6,88.7,26.1,,3.03,Katowice,Gdansk,Krakow
45,ae-abu-dhabi,Abu Dhabi,United Arab Emirates,Middle East,primary,55.9,70.5,92.6,62,29.5,46.2,A,0.91,Ranked,1.5,10.3,14.6,energy; finance; government,,50.8,98.6,37.1,33.0,3.99,Dubai,Manama,Fukuoka
46,nz-wellington,Wellington,New Zealand,Oceania,primary,55.9,37.8,92.6,85.7,57.2,48.8,A,0.87,Ranked,0.43,5.1,8.4,government; finance; services,1.56,37.5,100.0,37.9,52.0,1.29,Hobart,Auckland,Brisbane
47,ae-dubai,Dubai,United Arab Emirates,Middle East,primary,55.8,69.8,92.6,62,29.5,46.2,A,0.91,Ranked,3.6,10.3,35.0,trade; tourism; finance,,50.8,98.6,37.1,35.0,3.99,Abu Dhabi,Manama,Fukuoka
49,jp-hiroshima,Hiroshima,Japan,East Asia,primary,55.8,59,94.5,67.4,46.6,37.3,A,0.91,Ranked,1.2,125,1.0,manufacturing; tourism; education,1.20,36.6,98.7,38.6,,0.10,Sapporo,Kobe,Fukuoka
50,jp-sapporo,Sapporo,Japan,East Asia,secondary,55.8,59,94.5,67.4,46.6,37.3,A,0.91,Ranked,2,125,1.6,tourism; agriculture; tech,1.20,36.6,98.7,38.6,50.0,0.10,Hiroshima,Kobe,Fukuoka
51,pl-katowice,Katowice,Poland,Southern/Eastern Europe and Eurasia,secondary,55.4,65.9,79.5,65.1,52,31.9,A,0.91,Ranked,2.6,37.7,6.9,mining; manufacturing; services,1.29,38.6,88.7,26.1,,3.03,Torun,Gdansk,Krakow
